emotion,소개,작가명,작품명,address,topic,주제,멘트
분노,불안한 마음을 해소하는 방법,산드로 보티첼리,비너스의 탄생,https://dbscthumb-phinf.pstatic.net/3329_000_2/20140914200304911_HVTBJLGUO.jpg/BAL_412.jpg?type=m2000_2000_fst_n&wm=Y,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
슬픔,아름다운 그림은 구체적으로 어떤 힘을 지닐까,오귀스트 르누아르,피아노 치는 소녀,https://dbscthumb-phinf.pstatic.net/3329_000_2/20140914191736542_JLJYWZ56A.jpg/99-015182.jpg?type=m2000_2000_fst_n&wm=Y,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,우리들 마음에 잔잔한 위로를 던져주는 그림,빈센트 반 고흐,우체부 조제프 룰랭의 초상,https://dbscthumb-phinf.pstatic.net/3329_000_2/20140914200525640_XGXTGVCEK.jpg/bal_156523.jpg?type=m2000_2000_fst_n&wm=Y,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,사교적 활동과 대인관계에 좋은 색깔,이중섭 ,해와 아이들,https://dbscthumb-phinf.pstatic.net/3329_000_108/20141114215633642_TX6COGECX.jpg/2011040715525812.jpg?type=m2000_2000_fst&wm=N,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,한 번쯤 나의 모습을 돌아보게 해주는 그림,조르주 로슈그로스,꽃밭의 기사,https://ncc-phinf.pstatic.net/20140417_258/1397720618487dvAOz_JPEG/00-%287%29.jpg?type=w646,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,나 혼자만이 갖는 시간의 비밀,정선,인왕제색도,https://dbscthumb-phinf.pstatic.net/2765_000_58/20181024060510452_3D1VUYSKD.jpg/5810378.jpg?type=m4500_4500_fst&wm=N,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,주변 사람에 대한 새로운 시각을 갖게 하다,장 오귀스트 도미니크 앵그르,황제 권좌에 앉은 나폴레옹,https://dbscthumb-phinf.pstatic.net/3329_000_1/20140912055211727_UN5NOR9YX.jpg/06-501469.jpg?type=m2000_2000_fst_n&wm=Y,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,어른이 되면서 주변에 사람이 줄어든 이들,오귀스트 르누아르,물랭 드 라 갈레트의 무도회,https://ncc-phinf.pstatic.net/20140325_177/1395707753536pYw6T_JPEG/Untitled-1.jpg?type=w646,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,자신도 모르게 느끼는 일상의 관계들,디에고 벨라스케스,시녀들,https://dbscthumb-phinf.pstatic.net/3329_000_2/20140914201213772_TL0E0CH1I.jpg/BAL_405.jpg?type=m2000_2000_fst_n&wm=Y,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,사람에게 실망할 때,클로드 모네,임종을 맞은 카미유,https://dbscthumb-phinf.pstatic.net/3329_000_1/20140911211435321_FXDHGGA0T.jpg/01-010623.jpg?type=m2000_2000_fst_n&wm=Y,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,질투로 인한 영혼의 괴로움,전기,매화초옥도,https://dbscthumb-phinf.pstatic.net/3329_000_93/20141110125955680_L99JEQ0US.jpg/2011021818461021.jpg?type=m2000_2000_fst&wm=N,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,미워하는 사람이 있을 때,에드바르트 뭉크,태양,https://dbscthumb-phinf.pstatic.net/3329_000_55/20141004231530017_3K7GJOJQR.jpg/The+Sun_1.jpg?type=m2000_2000_fst&wm=N,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,업무 현장에서 다 함께 보면 좋은 그림,크리스티안 롤프스,블루 마운틴,https://upload.wikimedia.org/wikipedia/commons/3/31/Christian_Rohlfs_-_Abstraction_%28the_Blue_Mountain%29_-_Google_Art_Project.jpg,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,사랑의 설렘을 느끼고 싶다면,로렌스 알마 타데마,더 묻지 마세요,https://dbscthumb-phinf.pstatic.net/3329_000_4/20140914203348833_RM4108UUP.jpg/BAL_15116.jpg?type=m4500_4500_fst&wm=N,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,휴식이 되어줄 수 있는 관계,마커스 스톤,훔친 키스,https://m1.daumcdn.net/cfile295/image/241BE14A551A14641BEFF7,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
슬픔,순간순간 스트레스를 주는 상대가 있는 사람들,폴 세뤼지에,브르타뉴의 싸움,https://dbscthumb-phinf.pstatic.net/3329_000_109/20141115041912021_LFM6GGM28.jpg/2011041912175438.jpg?type=m2000_2000_fst_n&wm=Y,Relationship,부드러운 사람 관계를 원한다면,"사랑하고 또 동시에 미워하게도 되는 존재, 어렵다고 등한시할 수 없는 영원한 삶의 과제. ‘사람’. 외로움과 상처와 같이 사람으로부터 오는 결핍들을 치유하고, 나의 사람 관계를 돈독히 꾸려나갈 수 있는 그림을 담았습니다."
불안,행복하면 핑크를 빼놓을 수 없습니다.,장 오노레 프라고나르,그네,https://ncc-phinf.pstatic.net/20140421_153/1398065603100kYVkh_JPEG/1-1.jpg?type=w646,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,돈을 버는 것이 행복하려면,히에로니무스 보슈,죽음과 구두쇠,https://img.wikioo.org/ADC/Art-ImgScreen-1.nsf/O/A-9GZMAH/$FILE/Hieronymus-bosch-death-and-the-miser.Jpg,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,나도 부자가 되어 사람들에게 나누어 주고 싶다,그랜마 모지스,퀼팅 비,https://t1.daumcdn.net/cfile/blog/1817DB264C809E880B?original,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,"세상 모든 것을 다 가진, 최상의 황홀",구스타프 클림트,꽃이 있는 농장 정원,https://mblogthumb-phinf.pstatic.net/20150310_170/fresh0518_1425990916192R2FIg_JPEG/Screenshot_2015-02-27-23-34-29_edit.jpg?type=w800,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,꿈이 시작되는 기쁨에 전염되다,애벗 그레이브스,종잣돈,https://blog.kakaocdn.net/dn/Ikc3i/btqu37i815g/bL34k98aWhyh68db6hWoK1/img.png,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,내 스스로에게 주는 휴식,윌리엄 터너,전함 테메레르,https://dbscthumb-phinf.pstatic.net/1847_000_1/20120111110838497_3LNR57O9V.jpg/ed2_405_i1.jpg?type=m4500_4500_fst&wm=N,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,유명 스타를 꿈꾸다,에드가 드가,스타,https://cdn.migg.kr/news/photo/202011/1_47970_38710_191.jpg,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,그저 마음 편안해지는 그림,장 프랑수아 밀레,봄,https://t1.daumcdn.net/cfile/blog/2317E74558E2F8E22F?original,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,돈보다 중요한 그 무엇,프랑수아 제라르,큐피드와 프시케,https://cdn.artenews.co.kr/news/photo/202204/1397_2193_4325.jpg,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,힘든 일도 힘들게 느껴지지 않는 비밀,빈센트 반 고흐,수확하는 농부,https://mblogthumb-phinf.pstatic.net/MjAxODExMzBfMjQ3/MDAxNTQzNTYxOTc5MDk5.cFZacSJtJPvLpQHWh7GP1aEljsqYYXbdbkThOJc0MxUg.SeQJtuRerWBaZGZp7yITX8r83CF43JYnnJcQ5pYf5osg.JPEG.k-mjeong/wheat-field-with-reaper-and-sun-1889_jpgLarge.jpg?type=w800,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,그림으로 파악해보는 나의 현실,에드바르트 뭉크,생의 춤,https://post-phinf.pstatic.net/MjAxOTAyMTNfMTcg/MDAxNTUwMDQ4MjYzMTI4.pROA1o7Bb-Ulxwaky2CWiyWALeriOSU38hRt8p15y_og.U1sVhJXRzE601Y2IbvNOTGJ1J1BKBcYSAvhLvCEQdacg.JPEG/%EC%83%9D%EB%AA%85%EC%9D%98%EC%B6%A4.jpg?type=w1200,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,돈에 대한 부담을 가볍게 하다,미켈란젤로 메리시 다 카라바조,속임수를 쓰는 사람,https://t1.daumcdn.net/cfile/tistory/221A0C4F570F22292F,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,"돈 버는 일 중에, 힘들지 않은 일은 없을까 ",디에고 리베라,꽃 노점상,https://img1.daumcdn.net/thumb/R1280x0/?fname=http://t1.daumcdn.net/brunch/service/user/Iye/image/00dcHHlbK6IW0EyYsofdm2qfrfg.jpg,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,미래에 우리가 살고 있는 풍경,클로드 모네,아르장퇴유의 뱃놀이,https://farm1.static.flickr.com/138/340202945_c6b14e6d6a_o.jpg,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
불안,가장의 짐을 내려놓다,암리타 쉐어 길,옛이야기꾼,https://mblogthumb-phinf.pstatic.net/MjAxODAyMDNfMTU5/MDAxNTE3NTg1NzIzODUw.ppaqZ39mYhseKbzW8fA8Hf0EYotaZssaeLkQ0GVqmy8g.gcU-eo0SV3jAMhe-2I2PvjF8ujZDjXkrY8dISSohrdsg.JPEG.jrkimceo/ancient-storyteller-1940.jpg?type=w800,Money,"돈, 인생의 가장 긴밀한 친구가 되다","돈의 힘은 일의 결과를 좌우하고 사람의 처지를 변화시킵니다. 이런 돈을 적이나 주인으로 삼기보다, 적절한 동반자로 삼는 마인드가 중요할 것입니다. 떼려야 뗄 수 없는 돈과의 관계를 긍정적으로 재설정할 수 있는 그림을 실었습니다."
